                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2696,                 3.9443,                  1.244,                 1.3005,                 4.1754,                 1.1603,                0.00525,                0.57417,                0.12324,                0.08661,                 1.1999,                 3.7756,                 1.1206,                 1.1767,                 4.2378,                  1.048,              0.0032911,              0.0032911,              0.0032911
                      2,                 1.4181,                 2.8228,                 1.3423,                  1.414,                  3.197,                  1.222,                0.39181,                0.19188,                0.14613,                 0.0786,                 1.7282,                 2.8032,                 1.6233,                 1.6413,                 3.5233,                 1.4238,              0.0066114,              0.0066114,              0.0066114
                      3,                 1.6106,                 2.5942,                 1.4934,                  1.602,                 3.1472,                 1.3334,                0.08837,                0.08235,                0.01459,                0.00602,                 2.1559,                 17.091,                 2.2638,                 2.0368,                 12.972,                 2.0434,              0.0099184,              0.0099184,              0.0099184
                      4,                 1.7164,                 2.6091,                 1.6064,                 1.7357,                 3.2782,                 1.4176,                0.07585,                0.14049,                0.04083,                0.01656,                 2.0822,                  7.419,                 2.2248,                 1.9502,                 5.3516,                 1.8702,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6554,                 2.4295,                 1.5719,                 1.7028,                 3.1012,                  1.406,                0.25337,                0.09881,                0.06551,                0.03035,                  1.943,                 3.2223,                 1.9067,                 1.8446,                   3.87,                  1.593,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5876,                 2.3083,                  1.517,                 1.6453,                  2.961,                 1.3703,                0.20466,                0.22891,                0.13244,                0.06564,                 1.7275,                 2.7951,                 1.6788,                 1.7349,                  3.383,                 1.4784,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.5573,                 2.2285,                  1.499,                 1.6443,                 2.8228,                 1.3732,                0.23256,                0.18421,                0.12958,                0.06704,                 1.7593,                 2.9059,                 1.6701,                  1.746,                 3.4188,                 1.5144,               0.009901,               0.009901,               0.009901
                      8,                 1.5214,                 2.1553,                 1.4684,                 1.6276,                 2.7206,                 1.3513,                0.26605,                0.22954,                0.17007,                0.08901,                 1.7148,                 2.4646,                 1.5485,                  1.759,                 3.0144,                 1.4284,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.4883,                 2.0783,                 1.4432,                 1.6093,                 2.6069,                 1.3343,                0.27682,                0.25544,                0.19412,                0.10067,                 1.6254,                 2.2549,                 1.5059,                 1.6898,                 2.7782,                 1.3979,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.4825,                 2.0483,                 1.4293,                 1.5984,                 2.5312,                 1.3327,                0.37964,                0.30965,                0.26243,                 0.1469,                 1.5459,                 2.1017,                 1.4665,                 1.6194,                 2.5193,                 1.3659,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.4579,                 1.9685,                 1.4136,                  1.589,                 2.4295,                 1.3274,                0.29565,                0.27989,                0.21875,                0.11751,                 1.5351,                 2.2202,                 1.4389,                 1.6163,                 2.6729,                 1.3397,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.4378,                 1.9408,                 1.4086,                 1.5673,                 2.3785,                 1.3254,                0.31777,                0.30587,                 0.2506,                0.14032,                 1.5094,                 2.2044,                 1.4143,                 1.6139,                 2.7244,                 1.3523,               0.009802,               0.009802,               0.009802
                     13,                 1.4359,                 1.8984,                  1.394,                 1.5842,                 2.3234,                 1.3226,                0.38902,                0.35823,                0.32125,                0.18599,                 1.4605,                   1.92,                  1.395,                 1.5468,                 2.3304,                 1.3251,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.4181,                 1.8844,                 1.3833,                  1.564,                 2.2946,                 1.3139,                0.41119,                0.36408,                0.33343,                0.19792,                 1.4223,                 1.8553,                 1.3955,                 1.5374,                 2.2571,                 1.3151,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.3942,                 1.8598,                 1.3783,                 1.5451,                 2.2633,                 1.3152,                0.43915,                0.36919,                0.36198,                0.21063,                  1.439,                  1.816,                  1.361,                 1.5345,                 2.1576,                 1.2995,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.3925,                 1.8261,                  1.369,                 1.5438,                 2.2306,                 1.3133,                0.46551,                0.33383,                0.33762,                0.19807,                 1.4514,                 1.8802,                 1.3846,                 1.5408,                 2.2342,                 1.3269,              0.0097228,              0.0097228,              0.0097228
