                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0229,                 1.0764,                 1.1349,                 1.1855,                 1.3822,                 1.1328,                0.92095,                0.83005,                0.90918,                0.66327,                 1.4277,                 1.0107,                 153.47,                0.04854,                 77.716,                 2.8307,                 1.7064,                 2.9137,                 2.9297,                 2.6014,                 2.5893,             0.00033307,             0.00033307,             0.00033307
                      2,                 1.0151,                 1.0753,                 1.1344,                 1.1702,                 1.3742,                 1.1307,                0.90735,                0.83956,                0.90835,                0.66232,                 1.5735,                 1.0111,                 153.46,                0.04854,                 77.675,                 2.8231,                 1.6869,                  2.862,                 2.9102,                 2.5139,                 2.5593,             0.00066475,             0.00066475,             0.00066475
                      3,                 1.0106,                 1.0721,                  1.132,                 1.1643,                 1.3522,                 1.1271,                0.90856,                0.83791,                0.90607,                0.65917,                 1.6576,                 1.0112,                 153.47,                0.04854,                 77.658,                 2.8167,                 1.6912,                 2.8175,                   2.91,                 2.5279,                 2.5348,             0.00099479,             0.00099479,             0.00099479
                      4,                 1.0065,                 1.0627,                 1.1275,                  1.173,                 1.3511,                 1.1289,                0.91073,                0.82556,                 0.9005,                0.65427,                 1.7317,                 1.0114,                 153.46,                0.04854,                  77.66,                 2.8158,                 1.6905,                 2.8067,                 2.8972,                 2.5091,                 2.5227,             0.00099258,             0.00099258,             0.00099258
                      5,                 1.0067,                 1.0557,                 1.1265,                 1.1708,                 1.3392,                 1.1255,                0.91322,                0.82669,                0.90079,                0.65177,                 1.8137,                 1.0115,                 153.47,                0.04854,                 77.702,                 2.8195,                 1.7134,                 2.8234,                 2.9106,                 2.5111,                 2.5467,             0.00099258,             0.00099258,             0.00099258
                      6,                  1.006,                 1.0449,                 1.1243,                 1.1703,                 1.3342,                 1.1231,                0.89644,                0.83163,                0.89875,                0.64927,                 1.8747,                 1.0117,                 153.46,                0.04854,                   77.7,                 2.8191,                 1.7499,                 2.7799,                  2.914,                 2.5472,                 2.5158,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.0018,                 1.0484,                 1.1247,                 1.1647,                 1.3305,                 1.1264,                0.90317,                0.83228,                0.89954,                0.64743,                 1.9582,                 1.0118,                 153.46,                0.04854,                 77.671,                 2.8206,                 1.7188,                 2.7948,                 2.9121,                 2.5064,                 2.5345,             0.00098763,             0.00098763,             0.00098763
                      8,                0.99974,                 1.0312,                 1.1221,                 1.1672,                 1.3199,                  1.123,                0.88709,                0.83189,                0.89638,                0.64549,                 2.0376,                 1.0119,                 153.46,                0.04854,                 77.681,                 2.8163,                 1.6977,                 2.8048,                 2.9069,                 2.5013,                 2.5434,             0.00098515,             0.00098515,             0.00098515
                      9,                0.99703,                  1.031,                 1.1216,                 1.1608,                  1.307,                 1.1245,                 0.8986,                0.81887,                0.89762,                0.64635,                 2.1177,                  1.012,                 153.46,                0.04854,                 77.689,                  2.823,                 1.7721,                 2.8032,                 2.9111,                 2.5268,                  2.534,             0.00098268,             0.00098268,             0.00098268
                     10,                 1.0029,                 1.0315,                 1.1289,                 1.1625,                 1.3052,                 1.1289,                0.89893,                0.82136,                0.89681,                0.64549,                 2.1983,                 1.0121,                 153.46,                0.04854,                 77.673,                 2.8245,                 1.7786,                 2.8003,                 2.9302,                 2.5276,                  2.542,              0.0009802,              0.0009802,              0.0009802
