                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6053,                 3.0229,                 1.6126,                 1.6987,                 3.5547,                 1.5466,                 0.6462,                0.46405,                0.52016,                0.34864,                 5.3714,                 1.1771,                 1.8182,                 0.0002,                 3.0026,                 1.3401,                 1.5483,                 1.3378,                  1.456,                 1.9845,                 1.3248,             3.3307e-06,             3.3307e-06,             3.3307e-06
                      2,                 1.5981,                 2.9493,                 1.6105,                 1.6929,                 3.4638,                 1.5474,                0.65434,                0.46301,                0.52515,                0.35392,                  6.795,                 1.1806,                 1.8254,                0.00021,                 2.9906,                 1.3428,                 1.5134,                 1.3377,                 1.4547,                 1.9301,                 1.3224,             6.6475e-06,             6.6475e-06,             6.6475e-06
                      3,                 1.5907,                 2.8971,                  1.602,                 1.6794,                 3.4059,                 1.5372,                0.64833,                 0.4772,                0.53039,                0.35756,                 7.6398,                 1.1827,                 1.8296,                0.00021,                 2.9783,                 1.3246,                 1.4876,                 1.3262,                 1.4399,                 1.9152,                 1.3116,             9.9479e-06,             9.9479e-06,             9.9479e-06
                      4,                 1.5598,                 2.8114,                 1.5844,                 1.6514,                  3.339,                 1.5185,                 0.6642,                0.46526,                0.53799,                0.36649,                 8.4156,                 1.1839,                 1.8317,                0.00021,                 2.9497,                 1.2954,                 1.4369,                 1.3088,                 1.4185,                   1.85,                  1.299,             9.9258e-06,             9.9258e-06,             9.9258e-06
                      5,                 1.5425,                 2.7404,                 1.5667,                 1.6382,                 3.2459,                 1.5085,                0.66298,                0.47881,                0.54232,                0.37129,                 9.1604,                 1.1861,                  1.835,                0.00021,                 2.9372,                 1.2879,                 1.4141,                 1.3034,                  1.404,                 1.8235,                 1.2916,             9.9258e-06,             9.9258e-06,             9.9258e-06
                      6,                 1.5394,                 2.7014,                 1.5663,                 1.6358,                 3.2161,                 1.5052,                0.65755,                 0.4762,                0.54029,                0.37058,                 9.7686,                  1.188,                 1.8366,                0.00021,                  2.938,                 1.2802,                 1.4117,                  1.301,                 1.4046,                 1.8273,                 1.2927,              9.901e-06,              9.901e-06,              9.901e-06
                      7,                 1.4941,                 2.5945,                 1.5401,                 1.5884,                 3.1032,                 1.4834,                0.66003,                0.49652,                0.55771,                0.38457,                 10.563,                   1.19,                 1.8382,                0.00021,                 2.9016,                 1.2679,                 1.3373,                 1.2894,                 1.3906,                 1.7307,                 1.2814,             9.8763e-06,             9.8763e-06,             9.8763e-06
