                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2112,                 1.7391,                 1.5819,                 1.2806,                 1.9755,                  1.557,                 0.6012,                0.49895,                0.54502,                0.35642,                 1.1897,                 1.4259,                 1.5576,                 1.2292,                 1.5732,                 1.5537,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.2026,                 1.7116,                 1.5707,                 1.2739,                 1.9524,                 1.5508,                0.60597,                0.50907,                0.55521,                0.36931,                  1.169,                 1.3817,                 1.5334,                 1.2137,                 1.5317,                 1.5262,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.1966,                 1.6985,                 1.5647,                  1.265,                 1.9349,                 1.5481,                0.62113,                0.51853,                0.57566,                0.38434,                 1.1655,                 1.3435,                 1.5235,                 1.2175,                 1.4884,                 1.5281,              0.0095446,              0.0095446,              0.0095446
                     26,                  1.183,                 1.6889,                 1.5565,                  1.259,                 1.9186,                 1.5417,                0.62851,                0.52773,                0.57859,                0.39014,                 1.1449,                 1.3474,                 1.5068,                 1.1907,                 1.5121,                 1.5039,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.1809,                 1.6657,                 1.5464,                 1.2505,                 1.9077,                 1.5299,                0.62385,                0.54128,                0.58977,                0.39646,                 1.1497,                 1.3116,                  1.509,                 1.1885,                 1.4742,                 1.5035,               0.009505,               0.009505,               0.009505
                     28,                 1.1647,                 1.6424,                 1.5362,                 1.2376,                 1.8782,                 1.5211,                0.62995,                0.53594,                0.59205,                0.40352,                 1.1285,                  1.277,                 1.4862,                 1.1759,                 1.4336,                 1.4879,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.1654,                 1.6308,                 1.5323,                 1.2396,                 1.8668,                 1.5184,                0.64654,                0.55371,                0.60792,                0.41369,                 1.1249,                 1.2692,                 1.4806,                 1.1767,                 1.4092,                  1.476,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.1518,                  1.616,                  1.523,                  1.229,                  1.857,                 1.5146,                0.63579,                0.56024,                0.61431,                0.42049,                 1.1133,                 1.2448,                 1.4743,                 1.1688,                 1.3889,                 1.4813,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.1537,                 1.6049,                 1.5252,                 1.2316,                 1.8426,                 1.5151,                 0.6363,                0.57111,                0.62167,                0.42789,                 1.1084,                 1.2343,                 1.4651,                 1.1584,                 1.3822,                 1.4707,              0.0094258,              0.0094258,              0.0094258
                     32,                  1.151,                 1.5875,                 1.5162,                 1.2326,                 1.8182,                 1.5106,                0.62985,                0.58311,                0.62728,                0.43358,                 1.1031,                  1.209,                 1.4555,                 1.1551,                 1.3508,                 1.4596,               0.009406,               0.009406,               0.009406
                     33,                 1.1403,                 1.5806,                 1.5126,                  1.223,                 1.8104,                 1.5067,                0.66608,                0.57242,                 0.6406,                0.44121,                 1.0929,                 1.1976,                 1.4456,                 1.1467,                 1.3408,                 1.4543,              0.0093862,              0.0093862,              0.0093862
                     34,                  1.142,                 1.5681,                 1.5076,                 1.2214,                 1.8017,                 1.4982,                0.66931,                0.58694,                0.64975,                  0.452,                 1.0909,                 1.1811,                 1.4457,                 1.1404,                 1.3235,                 1.4548,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.1345,                 1.5529,                 1.5042,                 1.2182,                  1.782,                 1.5013,                0.67636,                 0.5876,                0.65359,                0.45377,                 1.0871,                  1.166,                 1.4414,                 1.1451,                 1.3016,                 1.4487,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.1311,                 1.5379,                 1.4968,                 1.2162,                 1.7654,                 1.4932,                0.70073,                0.57669,                0.65918,                0.45977,                 1.0783,                 1.1607,                 1.4289,                 1.1312,                  1.297,                 1.4337,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.1225,                 1.5299,                 1.4944,                 1.2086,                 1.7584,                 1.4916,                0.66771,                0.59966,                0.66043,                0.46319,                 1.0704,                 1.1487,                 1.4262,                 1.1269,                 1.2752,                 1.4324,               0.009307,               0.009307,               0.009307
                     38,                  1.121,                 1.5194,                 1.4924,                 1.2074,                 1.7421,                 1.4882,                0.67139,                0.60827,                0.66404,                 0.4657,                 1.0654,                 1.1396,                 1.4189,                 1.1289,                 1.2711,                 1.4319,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.1186,                 1.5057,                 1.4858,                  1.207,                 1.7276,                 1.4841,                0.68542,                0.60152,                0.66935,                0.47073,                 1.0597,                 1.1289,                 1.4114,                   1.12,                 1.2609,                 1.4237,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.1185,                 1.5008,                 1.4826,                 1.2079,                  1.728,                 1.4818,                 0.7014,                0.59866,                0.67495,                0.47491,                 1.0568,                  1.117,                 1.4085,                 1.1196,                 1.2463,                 1.4211,              0.0092476,              0.0092476,              0.0092476
