                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2604,                  3.969,                 1.2453,                 1.2794,                  4.194,                 1.1639,                0.00544,                0.57852,                0.12489,                0.08989,                 1.1878,                 3.7724,                 1.1088,                 1.1706,                 4.2264,                 1.0526,                0.00329,                0.00329,                0.00329
                      2,                 1.4225,                 2.8374,                 1.3463,                 1.4159,                 3.1962,                 1.2276,                 0.4479,                0.18319,                0.16354,                 0.0933,                 1.6636,                 2.6986,                 1.5549,                 1.6487,                 3.3792,                 1.4086,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.6001,                 2.5927,                 1.4952,                 1.5993,                 3.1412,                 1.3347,                0.09156,                0.06655,                0.00903,                0.00352,                 2.2647,                 19.233,                 2.4101,                 2.0419,                 12.163,                 1.9755,              0.0099173,              0.0099173,              0.0099173
                      4,                 1.7057,                 2.5872,                 1.6006,                 1.7237,                 3.2484,                 1.4209,                0.04384,                0.08729,                0.02051,                0.00764,                 2.5434,                 8.1568,                 3.1849,                  2.239,                 5.7683,                 2.3328,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6573,                 2.4442,                   1.57,                 1.7147,                 3.1118,                 1.4024,                0.10417,                0.10047,                0.04568,                0.02078,                 1.9269,                 4.3276,                 1.9591,                 1.8708,                 4.3987,                 1.6889,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6049,                  2.343,                 1.5374,                 1.6858,                 2.9608,                 1.3805,                0.17309,                0.15915,                0.09801,                0.04644,                 1.8553,                 3.1921,                 1.6836,                 1.8471,                 3.7017,                 1.5123,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.5656,                 2.2567,                 1.5118,                 1.6532,                 2.8439,                 1.3696,                0.31964,                0.15085,                0.11561,                0.05836,                 1.8345,                 3.2448,                 1.6651,                 1.8462,                 3.5248,                 1.4887,               0.009901,               0.009901,               0.009901
                      8,                 1.5396,                 2.1848,                 1.4883,                 1.6428,                 2.7402,                 1.3567,                0.27308,                0.27486,                 0.1932,                0.10267,                 1.6505,                 2.4093,                 1.5613,                 1.6988,                 2.9573,                 1.4149,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.5088,                 2.1192,                 1.4637,                 1.6285,                 2.6498,                 1.3432,                0.27173,                 0.2353,                0.16833,                0.08915,                 1.7197,                 2.5105,                  1.674,                  1.741,                 3.0205,                 1.4993,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.4789,                 2.0807,                 1.4537,                 1.5936,                 2.5807,                 1.3353,                0.34616,                0.23445,                 0.1863,                0.10217,                 1.6401,                 2.6341,                  1.563,                 1.6955,                 3.0436,                 1.4098,              0.0098416,              0.0098416,              0.0098416
                     11,                   1.46,                 1.9976,                 1.4323,                 1.5943,                 2.4801,                 1.3289,                0.37591,                0.31477,                 0.2832,                0.16212,                 1.5209,                 2.0901,                 1.4543,                 1.5811,                 2.5404,                 1.3505,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.4625,                 1.9888,                 1.4312,                 1.5936,                 2.4554,                 1.3315,                0.33709,                0.28379,                0.25227,                0.14519,                 1.5596,                 2.1376,                 1.4692,                 1.6472,                 2.5882,                 1.3579,               0.009802,               0.009802,               0.009802
                     13,                 1.4348,                 1.9458,                 1.4087,                 1.5661,                  2.399,                 1.3213,                 0.3835,                0.33078,                0.29943,                0.16306,                 1.5014,                 1.9216,                  1.441,                  1.604,                 2.3196,                 1.3653,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.4202,                 1.8998,                 1.3936,                 1.5628,                 2.3276,                 1.3157,                0.39799,                0.31233,                0.28874,                0.16601,                  1.496,                 1.9811,                 1.4706,                 1.6125,                 2.3836,                 1.3858,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.4068,                 1.8817,                 1.3901,                 1.5443,                 2.2965,                 1.3202,                0.44244,                0.38904,                0.37431,                 0.2261,                 1.3899,                 1.8023,                 1.3339,                 1.5119,                  2.142,                 1.2857,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.3921,                 1.8558,                 1.3816,                 1.5299,                 2.2628,                 1.3108,                0.43393,                0.35119,                0.33839,                0.19838,                 1.4627,                 1.8549,                 1.4016,                  1.563,                 2.1883,                 1.3363,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.3947,                 1.8476,                 1.3813,                 1.5299,                 2.2518,                 1.3134,                0.44961,                0.36164,                0.35532,                0.20991,                 1.4369,                 1.7811,                 1.3721,                 1.5755,                 2.1469,                 1.3238,               0.009703,               0.009703,               0.009703
                     18,                 1.3759,                 1.7953,                 1.3646,                 1.5299,                 2.2076,                 1.3038,                0.45501,                0.38056,                0.37214,                0.22239,                 1.4143,                 1.7875,                 1.3449,                 1.5199,                 2.1818,                 1.2963,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.3711,                 1.7647,                 1.3619,                 1.5247,                 2.1753,                 1.3039,                0.45967,                0.34124,                0.34702,                0.20875,                 1.4669,                  1.842,                 1.4122,                 1.5712,                 2.2106,                 1.3449,              0.0096634,              0.0096634,              0.0096634
