                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5995,                 2.5507,                 1.5962,                 1.5528,                 2.9416,                 1.4323,                0.88555,                0.85929,                  0.995,                0.76414,                 1.4926,                0.56144,                 23.847,                0.05345,                 27.604,                 2.6851,                 1.3439,                 3.2088,                   2.71,                 1.7129,                 2.8598,               8.34e-06,               8.34e-06,               8.34e-06
                      2,                 1.0122,                 1.3711,                   1.14,                 1.2162,                 1.7207,                 1.1337,                0.89314,                0.85369,                  0.995,                0.77414,                 1.4926,                0.56144,                 23.848,                0.05345,                 27.598,                 2.6933,                 1.3147,                 3.2071,                 2.7018,                 1.7102,                  2.857,             2.0798e-05,             2.0798e-05,             2.0798e-05
                      3,                 1.0405,                 1.5021,                 1.1901,                 1.0587,                 1.8585,                 1.1549,                0.69471,                0.99983,                0.99352,                 0.7579,                 1.4926,                0.56139,                 23.845,                0.05344,                 27.598,                 2.6923,                 1.3175,                 3.2104,                 2.7239,                 1.7215,                 2.8693,             3.3195e-05,             3.3195e-05,             3.3195e-05
                      4,                 1.1712,                 1.7128,                 1.1833,                 1.4127,                 2.3585,                 1.1781,                0.68847,                      1,                0.99352,                0.75291,                 1.4926,                0.56139,                 23.844,                0.05344,                 27.586,                 2.6861,                 1.3231,                 3.1761,                 2.6901,                 1.8026,                 2.7906,             4.5529e-05,             4.5529e-05,             4.5529e-05
                      5,                 1.0932,                 1.2069,                 1.2479,                 1.3266,                 1.7106,                 1.3004,                0.68998,                      1,                0.99352,                0.75565,                 1.4926,                0.56144,                 23.848,                0.05345,                   27.6,                 2.6978,                 1.3219,                 3.1724,                 2.6817,                 1.8053,                 2.8044,             5.7802e-05,             5.7802e-05,             5.7802e-05
                      6,                 1.2483,                 1.3242,                 1.3018,                 1.5174,                 1.7328,                 1.2763,                0.70756,                      1,                  0.995,                0.77044,                 1.4926,                0.56138,                 23.845,                0.05344,                 27.615,                 2.7046,                 1.3365,                 3.1665,                 2.6726,                 1.8214,                 2.9317,             7.0013e-05,             7.0013e-05,             7.0013e-05
                      7,                0.95268,                 1.2217,                 1.0931,                 1.1379,                 1.5347,                 1.0976,                0.70963,                      1,                  0.995,                0.77642,                 1.4926,                0.56144,                 23.849,                0.05345,                 27.632,                 2.7195,                 1.3291,                 3.1946,                   2.68,                 1.8273,                 2.9423,             8.2162e-05,             8.2162e-05,             8.2162e-05
                      8,                0.78999,                0.98496,                 1.0606,                0.98893,                 1.3178,                 1.1334,                0.73009,                      1,                  0.995,                0.77813,                 1.4926,                0.56144,                 23.849,                0.05345,                 27.628,                 2.7276,                 1.3274,                 3.1755,                 2.6876,                 1.7925,                 2.9456,             9.4248e-05,             9.4248e-05,             9.4248e-05
                      9,                 0.9813,                 1.1663,                  1.145,                 1.1784,                 1.5726,                 1.1206,                 0.7321,                      1,                  0.995,                0.77164,                 1.4926,                0.56145,                 23.849,                0.05345,                 27.638,                 2.7271,                 1.3495,                 3.1934,                 2.6852,                  1.811,                 2.9466,             0.00010627,             0.00010627,             0.00010627
                     10,                 1.2802,                  1.915,                 1.5791,                 1.3836,                 2.3902,                   1.47,                0.71207,                      1,                  0.995,                0.78007,                 1.4926,                0.56145,                 23.849,                0.05345,                 27.636,                 2.7348,                 1.3257,                  3.178,                 2.7466,                 1.7259,                 3.0035,             0.00011824,             0.00011824,             0.00011824
                     11,                 1.1693,                 1.3778,                  1.305,                 1.2321,                 1.9531,                 1.2312,                0.72329,                      1,                  0.995,                0.77813,                 1.4926,                0.56139,                 23.845,                0.05344,                 27.633,                 2.7324,                 1.3406,                  3.186,                 2.7464,                  1.718,                 3.0049,             0.00013014,             0.00013014,             0.00013014
                     12,                0.92989,                 1.1705,                 1.1168,                 1.1283,                  1.466,                 1.1803,                0.90595,                0.83256,                  0.995,                0.77183,                 1.4968,                0.56167,                 23.836,                0.05342,                 27.581,                 2.6979,                 1.3419,                 3.1239,                 2.6802,                 1.7092,                 2.9575,             0.00014198,             0.00014198,             0.00014198
                     13,                0.86868,                0.97475,                 1.0698,                 1.0902,                 1.7266,                 1.1013,                 0.9042,                0.83104,                  0.995,                0.77039,                 1.4968,                0.56171,                 23.837,                0.05342,                  27.58,                 2.6974,                 1.3419,                 3.1213,                 2.6633,                 1.7562,                 2.9237,             0.00015375,             0.00015375,             0.00015375
                     14,                 1.0254,                 1.1927,                 1.2199,                 1.0502,                 1.6567,                 1.1788,                0.88087,                0.83364,                0.98583,                0.77688,                 1.5001,                0.56152,                  23.84,                0.05343,                 27.618,                 2.7612,                 1.3439,                 3.1866,                 2.6843,                 1.7869,                 2.9506,             0.00016547,             0.00016547,             0.00016547
                     15,                0.96747,                 1.0172,                 1.1128,                 1.1428,                 1.3926,                 1.1366,                0.90117,                0.81854,                  0.995,                0.79358,                 1.5001,                0.56148,                  23.84,                0.05343,                 27.623,                 2.7551,                 1.3458,                 3.1937,                 2.6771,                 1.8237,                 2.9478,             0.00017712,             0.00017712,             0.00017712
                     16,                 1.1467,                 1.3102,                 1.2395,                   1.36,                 1.8847,                 1.2963,                0.88115,                0.83356,                0.98583,                0.78779,                 1.5001,                0.56149,                  23.84,                0.05343,                 27.619,                 2.7612,                 1.3438,                 3.1867,                 2.6844,                 1.7867,                 2.9509,             0.00018871,             0.00018871,             0.00018871
                     17,                 1.0302,                 1.0406,                 1.1507,                 1.3073,                   1.38,                 1.2086,                0.87626,                 0.8285,                0.93056,                0.74879,                 1.5025,                0.56151,                 23.843,                0.05344,                  27.64,                  2.804,                 1.2926,                 3.2364,                 2.6762,                  1.846,                 2.9371,             0.00020024,             0.00020024,             0.00020024
                     18,                 0.8206,                 1.0014,                 1.0279,                 1.0183,                 1.1972,                 1.0556,                0.85216,                0.85973,                0.93972,                0.75512,                 1.5025,                0.56149,                 23.842,                0.05344,                 27.642,                  2.806,                 1.2959,                 3.2385,                 2.6822,                 1.8574,                 2.9345,             0.00021171,             0.00021171,             0.00021171
                     19,                0.83577,                0.94259,                 1.1134,                0.91787,                 1.2835,                 1.1189,                0.88179,                0.81536,                0.93056,                0.74824,                 1.5025,                 0.5615,                  23.84,                0.05343,                 27.633,                 2.7938,                 1.3088,                 3.1878,                 2.6753,                 1.8511,                  2.936,             0.00022312,             0.00022312,             0.00022312
                     20,                0.91805,                 1.1053,                 1.0755,                 1.0155,                 1.3976,                 1.0763,                0.77965,                0.85119,                0.93056,                0.75456,                 1.5052,                0.56173,                 23.852,                0.05346,                 27.656,                 2.7783,                 1.3371,                 3.1334,                 2.6449,                 1.9209,                 2.9041,             0.00023446,             0.00023446,             0.00023446
                     21,                 1.0924,                0.94092,                 1.2033,                 1.2486,                 1.2525,                 1.2044,                0.77739,                0.85022,                0.93056,                0.75453,                 1.5052,                0.56173,                 23.852,                0.05346,                 27.657,                 2.7775,                 1.3367,                 3.1319,                 2.6436,                 1.9212,                 2.9032,             0.00024574,             0.00024574,             0.00024574
                     22,                0.79971,                0.87471,                 1.0817,                0.88967,                 1.2273,                 1.1011,                0.78349,                0.81989,                0.91213,                0.74714,                 1.5052,                0.56183,                 23.852,                0.05346,                 27.654,                 2.7715,                 1.3286,                 3.1309,                  2.641,                   1.92,                 2.9016,             0.00025696,             0.00025696,             0.00025696
                     23,                0.94218,                0.97717,                 1.1453,                 1.0767,                 1.2304,                 1.1307,                0.77897,                0.81995,                0.91213,                0.74272,                 1.5052,                0.56182,                 23.853,                0.05346,                 27.657,                 2.7787,                 1.3414,                 3.1275,                 2.6406,                 1.9255,                 2.8975,             0.00026812,             0.00026812,             0.00026812
                     24,                0.79991,                0.89366,                  1.048,                0.99489,                 1.4062,                  1.024,                0.89501,                0.80527,                0.91208,                0.72596,                  1.509,                0.56176,                 23.863,                0.05348,                 27.698,                 2.7826,                 1.3543,                 3.1262,                 2.7722,                 1.8518,                 2.9957,             0.00027922,             0.00027922,             0.00027922
                     25,                0.91713,                0.94749,                 1.1872,                  1.028,                 1.1723,                 1.1967,                0.73535,                0.92817,                0.93972,                0.74447,                  1.509,                0.56173,                 23.866,                0.05349,                 27.687,                 2.7849,                 1.3454,                 3.1444,                  2.715,                 1.8284,                 2.9472,             0.00029025,             0.00029025,             0.00029025
                     26,                0.78886,                0.82474,                 1.0328,                 1.0741,                 1.3066,                 1.0576,                0.72741,                0.94733,                0.93972,                0.74286,                  1.509,                0.56171,                 23.865,                0.05349,                 27.681,                 2.7847,                  1.345,                 3.1411,                 2.7125,                 1.8258,                 2.9495,             0.00030122,             0.00030122,             0.00030122
                     27,                 1.0674,                 1.0707,                 1.0887,                 1.3232,                 1.6048,                 1.1447,                 0.7351,                0.92519,                0.93972,                0.74145,                  1.509,                0.56169,                 23.856,                0.05347,                 27.667,                 2.7815,                  1.347,                 3.1398,                 2.7094,                 1.8409,                 2.9423,             0.00031213,             0.00031213,             0.00031213
                     28,                0.97238,                0.98555,                  1.086,                 1.2516,                 1.6871,                  1.108,                0.73553,                0.92642,                0.93972,                0.74447,                  1.509,                0.56171,                 23.862,                0.05348,                 27.674,                 2.7825,                 1.3412,                 3.1422,                 2.7126,                 1.8263,                 2.9457,             0.00032298,             0.00032298,             0.00032298
                     29,                0.91262,                 1.1979,                 1.1176,                 1.0167,                 1.6914,                 1.0982,                0.76408,                0.82478,                0.90296,                0.71446,                 1.5134,                0.56173,                 23.858,                0.05347,                 27.673,                 2.7603,                 1.3599,                 3.1326,                 2.7637,                   1.79,                 2.9987,             0.00033377,             0.00033377,             0.00033377
                     30,                0.92409,                 1.2721,                  1.137,                 1.0318,                 1.5328,                 1.1352,                0.76411,                0.82535,                0.90296,                0.71462,                 1.5134,                0.56174,                 23.857,                0.05347,                 27.676,                 2.7613,                 1.3514,                 3.1374,                 2.7762,                 1.7917,                 3.0061,             0.00034449,             0.00034449,             0.00034449
                     31,                0.98728,                0.89882,                 1.1818,                 1.0415,                 1.0415,                 1.1739,                0.76627,                0.88828,                0.93972,                0.74086,                 1.5134,                0.56173,                 23.859,                0.05347,                 27.661,                 2.7552,                 1.3363,                 3.1402,                  2.721,                 1.7858,                 2.9593,             0.00035515,             0.00035515,             0.00035515
