                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9903,                 1.9948,                 2.2962,                 2.3298,                 2.5957,                 2.2977,                0.83469,                0.75558,                0.83612,                 0.6503,                 1.3345,                 1.1687,                  1.807,                 0.0002,                 2.3724,                0.84599,                0.63769,                0.99215,                 0.9838,                0.79001,                 1.0071,             0.00033307,             0.00033307,             0.00033307
                      2,                 1.9896,                 1.9959,                 2.3093,                 2.3138,                 2.5971,                  2.308,                0.85128,                0.75036,                  0.844,                0.65464,                 1.4337,                  1.169,                  1.807,                 0.0002,                 2.3692,                0.84649,                0.63318,                0.99166,                0.98347,                0.77503,                 1.0048,             0.00066475,             0.00066475,             0.00066475
                      3,                  2.001,                 1.9975,                  2.304,                 2.3285,                 2.5777,                 2.3024,                0.84861,                 0.7511,                0.84196,                 0.6503,                 1.4917,                 1.1692,                  1.807,                 0.0002,                 2.3698,                0.84867,                0.62907,                0.99071,                0.98703,                0.77707,                 1.0074,             0.00099479,             0.00099479,             0.00099479
                      4,                  1.999,                 2.0087,                 2.3031,                 2.3353,                 2.6129,                 2.3057,                0.84867,                0.75005,                0.84072,                0.64949,                 1.5427,                 1.1694,                  1.807,                 0.0002,                 2.3706,                0.84774,                0.63242,                0.98999,                 0.9855,                0.78402,                 1.0047,             0.00099258,             0.00099258,             0.00099258
                      5,                 2.0067,                 2.0067,                 2.2967,                 2.3508,                 2.6164,                 2.2976,                0.83506,                0.76378,                0.84455,                0.65259,                 1.5962,                 1.1697,                  1.807,                 0.0002,                 2.3695,                0.84722,                0.63393,                0.98952,                0.98815,                0.77872,                 1.0031,             0.00099258,             0.00099258,             0.00099258
                      6,                  2.017,                 1.9983,                 2.3014,                 2.3492,                 2.5991,                  2.302,                0.85305,                0.75607,                0.84392,                0.65301,                 1.6339,                 1.1699,                 1.8071,                 0.0002,                   2.37,                0.84794,                0.63233,                0.98909,                0.99096,                0.77776,                 1.0053,              0.0009901,              0.0009901,              0.0009901
                      7,                  2.012,                 2.0178,                 2.3061,                 2.3376,                 2.6162,                 2.3044,                0.84371,                0.76304,                0.84719,                0.65611,                 1.6891,                 1.1701,                 1.8072,                 0.0002,                 2.3649,                 0.8438,                0.62797,                0.98775,                0.98545,                 0.7659,                 1.0036,             0.00098763,             0.00098763,             0.00098763
                      8,                  2.017,                 2.0057,                 2.3029,                 2.3642,                 2.6141,                 2.3084,                0.83984,                0.76143,                0.84325,                0.65306,                 1.7414,                 1.1703,                 1.8072,                 0.0002,                 2.3691,                0.84602,                0.63605,                0.98695,                0.98389,                0.78477,                 1.0013,             0.00098515,             0.00098515,             0.00098515
                      9,                 2.0089,                   2.01,                 2.3006,                 2.3438,                 2.6054,                 2.3055,                0.85635,                0.75817,                0.84649,                0.65793,                  1.788,                 1.1705,                 1.8072,                 0.0002,                 2.3646,                0.84259,                0.62812,                0.98862,                0.97971,                0.76901,                 1.0025,             0.00098268,             0.00098268,             0.00098268
                     10,                 2.0111,                 2.0198,                 2.3075,                 2.3357,                 2.6158,                 2.3091,                0.85484,                0.75513,                0.84769,                0.65666,                 1.8386,                 1.1707,                 1.8073,                 0.0002,                  2.363,                0.83916,                0.62742,                0.98542,                0.97797,                0.76802,                 1.0014,              0.0009802,              0.0009802,              0.0009802
                     11,                 1.9982,                 1.9981,                 2.2918,                 2.3434,                 2.6007,                 2.2947,                0.84925,                0.76804,                0.84915,                0.65575,                 1.8918,                 1.1708,                 1.8074,                 0.0002,                 2.3648,                0.84194,                0.62522,                0.98484,                0.98255,                0.76917,                0.99927,             0.00097773,             0.00097773,             0.00097773
                     12,                 1.9997,                 1.9895,                 2.2841,                 2.3369,                 2.5828,                 2.2826,                0.85149,                0.75537,                0.84655,                0.65703,                 1.9476,                 1.1709,                 1.8073,                 0.0002,                 2.3637,                0.84012,                0.62486,                0.98364,                 0.9815,                0.77175,                0.99933,             0.00097525,             0.00097525,             0.00097525
                     13,                 2.0199,                 2.0019,                 2.2933,                 2.3577,                 2.6133,                 2.2967,                0.86047,                0.75687,                0.85014,                 0.6587,                 1.9954,                 1.1711,                 1.8073,                 0.0002,                 2.3651,                0.84178,                0.62428,                0.98486,                0.98506,                0.76779,                 1.0016,             0.00097278,             0.00097278,             0.00097278
                     14,                 1.9864,                 1.9848,                 2.2802,                 2.3283,                 2.5975,                 2.2881,                0.86109,                0.75453,                0.84875,                0.65628,                 2.0466,                 1.1713,                 1.8073,                 0.0002,                  2.364,                0.83973,                0.62572,                 0.9832,                0.98294,                 0.7712,                 0.9982,              0.0009703,              0.0009703,              0.0009703
                     15,                 1.9676,                  1.958,                 2.2812,                 2.2888,                 2.5397,                 2.2832,                0.86669,                 0.7504,                0.85237,                0.66203,                 2.1027,                 1.1715,                 1.8074,                 0.0002,                 2.3606,                0.83664,                0.62036,                0.98166,                0.97857,                0.75996,                0.99785,             0.00096783,             0.00096783,             0.00096783
                     16,                 1.9921,                 1.9695,                 2.2868,                 2.3329,                 2.5612,                 2.2877,                0.85937,                0.75256,                0.84572,                0.65626,                 2.1475,                 1.1717,                 1.8074,                 0.0002,                 2.3661,                0.84348,                0.62817,                0.98475,                0.98673,                0.76936,                0.99998,             0.00096535,             0.00096535,             0.00096535
                     17,                 2.0025,                 1.9966,                 2.2911,                 2.3426,                 2.5823,                 2.2944,                0.85144,                0.76231,                0.85338,                0.66401,                 2.1924,                  1.172,                 1.8074,                 0.0002,                 2.3579,                0.83707,                 0.6169,                0.98187,                0.97779,                0.75409,                 0.9975,             0.00096288,             0.00096288,             0.00096288
                     18,                 1.9878,                 1.9726,                 2.2847,                 2.3291,                  2.571,                 2.2956,                0.85402,                0.76832,                0.85432,                0.66416,                 2.2421,                 1.1723,                 1.8076,                 0.0002,                 2.3574,                0.83389,                0.61616,                0.97925,                0.97792,                0.75702,                0.99624,              0.0009604,              0.0009604,              0.0009604
                     19,                 2.0071,                 1.9924,                 2.2944,                 2.3448,                 2.5832,                 2.2959,                0.84854,                0.76497,                0.85232,                 0.6644,                 2.2937,                 1.1724,                 1.8077,                 0.0002,                 2.3593,                0.83713,                0.61932,                0.98066,                0.97906,                0.75749,                0.99727,             0.00095793,             0.00095793,             0.00095793
                     20,                 1.9789,                 1.9735,                 2.2836,                  2.321,                 2.5656,                 2.2899,                0.85258,                0.76893,                0.85487,                0.66479,                 2.3447,                 1.1792,                 1.8143,                 0.0002,                 2.3615,                 0.8335,                0.61347,                 0.9783,                0.97525,                0.74986,                0.99293,             0.00095545,             0.00095545,             0.00095545
                     21,                 2.0065,                 1.9828,                 2.2897,                 2.3421,                 2.5769,                 2.2902,                0.85754,                0.76369,                 0.8531,                0.66425,                 2.3953,                 1.1728,                 1.8079,                 0.0002,                 2.3559,                0.83138,                 0.6172,                0.97938,                0.97404,                0.75112,                0.99469,             0.00095298,             0.00095298,             0.00095298
                     22,                   1.99,                 1.9608,                 2.2808,                 2.3323,                 2.5401,                 2.2837,                0.86782,                0.76165,                0.85289,                0.66623,                 2.4489,                  1.173,                 1.8079,                 0.0002,                 2.3558,                0.83248,                0.61572,                0.97956,                0.97194,                0.75504,                0.99295,              0.0009505,              0.0009505,              0.0009505
                     23,                 1.9952,                 1.9613,                 2.2841,                   2.35,                 2.5652,                 2.2902,                0.86248,                 0.7596,                 0.8526,                0.66485,                 2.4993,                 1.1732,                  1.808,                 0.0002,                 2.3542,                0.83001,                0.61261,                0.97912,                0.97071,                0.75032,                0.99438,             0.00094803,             0.00094803,             0.00094803
