                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 59.053,                      0,                      0,                  59.34,                      0,                      0,                      0,                      0,                      0,                      0,                   68.8,                      0,                      0,                 66.964,                      0,                0.00329,                0.00329,                0.00329
                      2,                      0,                 3.7376,                      0,                      0,                 3.8108,                      0,                      0,                      0,                      0,                      0,                      0,                0.00543,                      0,                      0,                0.00587,                      0,              0.0066103,              0.0066103,              0.0066103
                      3,                      0,                 0.0001,                      0,                      0,                0.00012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099173,              0.0099173,              0.0099173
                      4,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      6,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
