                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0223,                 5.2804,                 3.1009,                 3.2186,                 6.3235,                  2.983,                0.68568,                0.49209,                0.57013,                0.39267,                 1.3303,                 1.1684,                 1.8073,                 0.0002,                 2.8441,                 1.2615,                 1.2404,                 1.2864,                 1.3875,                 1.6307,                  1.278,             0.00033307,             0.00033307,             0.00033307
                      2,                 2.8344,                 4.0497,                 2.9671,                 3.0369,                 4.9287,                 2.8611,                0.69591,                0.54191,                0.61586,                0.42442,                 1.4317,                 1.1687,                 1.8072,                 0.0002,                 2.7631,                 1.2336,                  1.101,                 1.2632,                  1.346,                 1.4104,                 1.2462,             0.00066475,             0.00066475,             0.00066475
                      3,                 2.7633,                 3.6508,                 2.8902,                 2.9732,                 4.4622,                 2.7925,                0.69661,                0.56805,                 0.6401,                0.44133,                 1.4976,                 1.1689,                 1.8071,                 0.0002,                 2.7237,                 1.1933,                 1.0562,                 1.2292,                 1.3237,                 1.3368,                 1.2238,             0.00099479,             0.00099479,             0.00099479
                      4,                 2.7002,                 3.4926,                  2.833,                 2.9442,                 4.3068,                  2.747,                0.72275,                0.56343,                0.65425,                0.45187,                  1.559,                 1.1691,                 1.8071,                 0.0002,                 2.7051,                 1.1681,                 1.0416,                 1.2156,                 1.3056,                 1.3137,                 1.2118,             0.00099258,             0.00099258,             0.00099258
                      5,                 2.6568,                 3.3716,                 2.7825,                 2.9283,                 4.1619,                 2.7171,                0.71726,                0.58751,                0.66815,                0.46256,                 1.6212,                 1.1693,                 1.8071,                 0.0002,                 2.6821,                 1.1468,                 1.0119,                 1.1925,                 1.2897,                 1.2774,                 1.1961,             0.00099258,             0.00099258,             0.00099258
                      6,                 2.6587,                 3.3445,                 2.7827,                 2.9353,                 4.1403,                 2.7164,                0.73956,                0.57847,                0.67005,                0.46609,                 1.6655,                 1.1695,                 1.8071,                 0.0002,                 2.6787,                 1.1467,                 1.0049,                  1.195,                 1.2943,                 1.2587,                 1.1982,              0.0009901,              0.0009901,              0.0009901
                      7,                 2.6059,                 3.2864,                 2.7617,                   2.88,                 4.0714,                 2.6997,                0.74179,                0.59194,                0.68457,                0.47618,                 1.7303,                 1.1697,                 1.8071,                 0.0002,                 2.6561,                 1.1279,                 0.9707,                 1.1801,                 1.2735,                 1.2206,                 1.1851,             0.00098763,             0.00098763,             0.00098763
