                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94847,                0.93677,                 1.1247,                 1.1265,                 1.2311,                 1.1312,                0.66297,                0.55672,                0.59874,                0.39281,                 1.1987,                 1.1425,                 1.2444,                 1.3207,                 1.4311,                 1.2334,              0.0033306,              0.0033306,              0.0033306
                      2,                 1.0364,                 1.0598,                 1.1669,                 1.2103,                 1.3684,                 1.1661,                0.67408,                0.54105,                0.58978,                0.38583,                 1.2027,                 1.1639,                 1.2334,                 1.3244,                 1.4422,                 1.2268,              0.0066508,              0.0066508,              0.0066508
                      3,                 1.0903,                 1.1483,                 1.1948,                 1.2623,                 1.4555,                 1.1899,                0.65527,                 0.5048,                0.55626,                0.35535,                 1.2441,                 1.2453,                 1.2562,                 1.3794,                 1.5468,                  1.242,              0.0099577,              0.0099577,              0.0099577
                      4,                  1.149,                 1.2746,                  1.226,                 1.3094,                    1.6,                 1.2152,                  0.604,                0.49741,                0.52695,                0.33708,                 1.2679,                 1.3166,                 1.2695,                 1.3923,                    1.6,                 1.2545,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1673,                 1.3322,                 1.2397,                 1.3409,                 1.6603,                 1.2322,                0.60467,                0.49454,                0.52372,                0.33048,                 1.2741,                 1.3187,                 1.2758,                 1.4135,                 1.6092,                 1.2676,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1812,                 1.3295,                 1.2396,                 1.3568,                 1.6624,                 1.2312,                 0.6071,                0.48775,                0.51682,                 0.3279,                 1.2964,                 1.3368,                 1.2959,                 1.4194,                 1.6458,                 1.2843,              0.0099208,              0.0099208,              0.0099208
                      7,                   1.18,                 1.3585,                 1.2415,                 1.3522,                 1.6923,                 1.2337,                 0.6232,                0.49912,                0.53743,                0.33618,                 1.2764,                 1.3102,                 1.2818,                 1.4077,                 1.5895,                 1.2707,               0.009901,               0.009901,               0.009901
                      8,                 1.1859,                 1.3528,                  1.243,                 1.3585,                 1.6754,                 1.2326,                 0.6065,                0.49978,                0.53104,                0.33452,                 1.2891,                 1.3012,                 1.2943,                 1.4153,                 1.5793,                 1.2837,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.1959,                 1.3455,                 1.2506,                 1.3696,                 1.6679,                 1.2396,                0.59821,                0.50416,                0.52849,                0.33276,                 1.2889,                 1.3046,                 1.2831,                   1.42,                  1.601,                 1.2747,              0.0098614,              0.0098614,              0.0098614
                     10,                  1.194,                  1.375,                 1.2521,                 1.3658,                 1.7079,                 1.2421,                0.60289,                 0.5054,                0.53731,                0.33749,                 1.2685,                 1.3106,                 1.2822,                 1.4028,                 1.5982,                 1.2789,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2034,                 1.3765,                 1.2532,                 1.3727,                 1.7149,                   1.24,                 0.6014,                 0.5066,                0.51971,                0.31953,                 1.2959,                 1.3143,                 1.2905,                 1.4319,                 1.5919,                 1.2761,              0.0098218,              0.0098218,              0.0098218
                     12,                  1.202,                 1.3646,                 1.2527,                 1.3656,                 1.7135,                 1.2396,                0.58921,                0.49272,                0.51853,                0.32266,                 1.2819,                 1.3156,                 1.2804,                 1.4189,                  1.614,                 1.2738,               0.009802,               0.009802,               0.009802
                     13,                 1.2082,                 1.3816,                 1.2575,                 1.3886,                 1.7063,                 1.2494,                0.61582,                0.50511,                0.52803,                0.33164,                  1.282,                 1.3267,                 1.2765,                 1.4184,                 1.5902,                 1.2657,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1957,                 1.3769,                 1.2514,                 1.3742,                 1.7034,                 1.2429,                0.57746,                0.48926,                0.50577,                0.31666,                 1.2818,                 1.3577,                 1.2765,                 1.4208,                 1.6468,                 1.2721,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1904,                 1.3619,                 1.2528,                 1.3638,                 1.6982,                 1.2406,                0.59875,                0.50816,                0.53105,                0.33391,                 1.2758,                 1.3397,                 1.3016,                 1.4127,                 1.6187,                 1.2793,              0.0097426,              0.0097426,              0.0097426
