                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.0231,                 1.0622,                 1.1329,                 1.1883,                  1.359,                  1.132,                0.86894,                0.80717,                0.88154,                 0.6233,                 17.584,                0.40989,                 21.622,                0.04869,                 13.227,                 2.8171,                 1.6952,                 2.7955,                 2.9057,                 2.4697,                 2.5175,             0.00095793,             0.00095793,             0.00095793
                     20,                 1.0185,                 1.0553,                 1.1351,                  1.188,                 1.3577,                 1.1359,                0.90462,                0.79788,                0.88633,                0.63216,                  18.25,                0.41099,                 21.628,                 0.0487,                 13.226,                 2.8207,                 1.7006,                 2.7858,                 2.9102,                 2.4747,                 2.5215,             0.00095545,             0.00095545,             0.00095545
                     21,                 1.0219,                 1.0559,                 1.1327,                 1.1859,                 1.3607,                 1.1315,                 0.8966,                0.80757,                0.88738,                  0.634,                 18.864,                0.41241,                 21.641,                0.04873,                 13.256,                 2.8212,                 1.7347,                 2.8138,                 2.8972,                 2.5392,                 2.5182,             0.00095298,             0.00095298,             0.00095298
                     22,                 1.0129,                 1.0426,                 1.1273,                 1.1836,                 1.3303,                 1.1312,                0.90328,                0.79924,                0.88393,                 0.6323,                 19.562,                 0.4136,                 21.639,                0.04872,                 13.244,                 2.8172,                 1.7214,                 2.7837,                 2.8984,                 2.5081,                 2.5012,              0.0009505,              0.0009505,              0.0009505
                     23,                 1.0212,                  1.037,                 1.1295,                 1.1919,                 1.3367,                 1.1311,                 0.9039,                 0.7989,                 0.8854,                0.63137,                 20.233,                0.41444,                 21.655,                0.04875,                 13.249,                 2.8139,                  1.751,                 2.7581,                 2.8983,                 2.5314,                 2.4868,             0.00094803,             0.00094803,             0.00094803
                     24,                 1.0132,                 1.0273,                 1.1293,                 1.1805,                 1.3213,                 1.1323,                0.88988,                0.80693,                0.88319,                0.62698,                 20.847,                0.41562,                 21.665,                0.04877,                 13.279,                 2.8267,                 1.7681,                 2.7807,                  2.923,                 2.5243,                 2.5025,             0.00094555,             0.00094555,             0.00094555
                     25,                 1.0119,                 1.0408,                 1.1272,                 1.1837,                 1.3381,                   1.13,                0.88868,                0.80961,                0.88496,                0.62845,                 21.434,                0.41664,                 21.682,                0.04881,                 13.271,                 2.8131,                 1.7264,                 2.7419,                 2.9021,                 2.4812,                 2.4749,             0.00094308,             0.00094308,             0.00094308
                     26,                 1.0099,                   1.03,                 1.1276,                 1.1729,                 1.3244,                  1.127,                0.87444,                0.81913,                0.88306,                0.62772,                 22.112,                0.41797,                 21.691,                0.04883,                 13.269,                 2.8252,                  1.743,                 2.7645,                 2.9108,                 2.4993,                 2.4905,              0.0009406,              0.0009406,              0.0009406
                     27,                 1.0109,                 1.0252,                 1.1236,                 1.1837,                 1.3182,                 1.1255,                0.88872,                0.80518,                0.88407,                0.62746,                 22.723,                0.41893,                 21.693,                0.04883,                 13.289,                  2.811,                 1.7296,                 2.7719,                 2.9033,                  2.483,                 2.5043,             0.00093813,             0.00093813,             0.00093813
                     28,                  1.003,                 1.0329,                 1.1243,                 1.1659,                 1.3211,                 1.1258,                0.89691,                0.80125,                0.88209,                0.62786,                 23.395,                0.42048,                 21.696,                0.04883,                  13.28,                 2.8189,                  1.731,                  2.772,                 2.9023,                  2.517,                 2.4991,             0.00093565,             0.00093565,             0.00093565
