                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5179,                 2.6617,                 1.5552,                 1.6142,                 3.1831,                 1.4959,                0.65923,                0.49244,                0.55508,                0.34822,                 1.4437,                 1.0106,                 153.48,                0.04854,                 77.905,                 2.9676,                 2.0293,                 2.8907,                  3.009,                 2.9361,                 2.6623,             0.00033307,             0.00033307,             0.00033307
                      2,                 1.4239,                 2.0434,                 1.4888,                 1.5224,                 2.4862,                 1.4343,                0.68197,                0.52926,                0.60073,                0.37663,                 1.5947,                  1.011,                 153.48,                0.04855,                  77.81,                 2.9385,                 1.9433,                 2.8379,                 2.9763,                 2.6773,                 2.6017,             0.00066475,             0.00066475,             0.00066475
                      3,                  1.392,                 1.8397,                 1.4525,                 1.4935,                 2.2474,                 1.4026,                0.68892,                0.54556,                0.61871,                0.38605,                 1.6891,                 1.0111,                 153.48,                0.04855,                 77.721,                  2.899,                 1.8816,                 2.7512,                 2.9623,                 2.5996,                 2.5626,             0.00099479,             0.00099479,             0.00099479
                      4,                 1.3579,                 1.7614,                  1.422,                 1.4775,                 2.1687,                 1.3781,                0.68215,                0.56191,                0.62945,                0.39421,                 1.7735,                 1.0113,                 153.47,                0.04854,                 77.677,                 2.8819,                 1.8407,                  2.704,                 2.9573,                  2.544,                 2.5192,             0.00099258,             0.00099258,             0.00099258
                      5,                 1.3357,                 1.7027,                 1.3973,                 1.4704,                 2.0944,                 1.3631,                0.71286,                0.56272,                0.64483,                0.40315,                 1.8618,                 1.0115,                 153.47,                0.04854,                 77.699,                  2.863,                 1.8597,                 2.7035,                 2.9431,                 2.5648,                 2.5134,             0.00099258,             0.00099258,             0.00099258
                      6,                 1.3355,                 1.6898,                 1.3963,                 1.4756,                 2.0864,                  1.363,                0.70538,                0.57588,                0.64295,                0.40479,                  1.931,                 1.0116,                 153.47,                0.04854,                 77.688,                  2.857,                 1.8401,                 2.6902,                 2.9381,                 2.5359,                 2.4966,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.3094,                 1.6592,                 1.3865,                 1.4482,                 2.0533,                 1.3566,                0.73231,                0.57459,                0.65944,                0.41501,                 2.0212,                 1.0117,                 153.47,                0.04854,                 77.671,                 2.8588,                  1.828,                 2.6947,                 2.9415,                 2.5126,                  2.501,             0.00098763,             0.00098763,             0.00098763
                      8,                 1.3162,                 1.6327,                 1.3844,                 1.4619,                 2.0366,                 1.3546,                0.72281,                0.57973,                 0.6639,                0.41707,                 2.1008,                 1.0118,                 153.46,                0.04854,                 77.643,                 2.8508,                   1.82,                 2.6901,                 2.9407,                 2.5175,                 2.4872,             0.00098515,             0.00098515,             0.00098515
                      9,                  1.305,                 1.6285,                 1.3748,                 1.4445,                 2.0218,                 1.3477,                0.72624,                0.57462,                0.65907,                0.41484,                 2.1886,                 1.0119,                 153.47,                0.04854,                 77.682,                 2.8492,                 1.8357,                 2.6881,                 2.9317,                 2.5132,                 2.4927,             0.00098268,             0.00098268,             0.00098268
                     10,                 1.3025,                 1.6214,                 1.3721,                 1.4375,                 2.0047,                 1.3443,                0.72644,                0.58227,                0.66418,                0.41747,                 2.2728,                 1.0119,                 153.47,                0.04854,                 77.702,                 2.8451,                 1.8477,                 2.6863,                 2.9328,                 2.5248,                 2.4958,              0.0009802,              0.0009802,              0.0009802
                     11,                 1.2898,                 1.5953,                 1.3573,                 1.4389,                 1.9841,                 1.3334,                0.72866,                0.58744,                0.66831,                 0.4208,                 2.3558,                  1.012,                 153.47,                0.04854,                 77.664,                 2.8525,                 1.8358,                 2.7058,                 2.9401,                 2.5059,                  2.495,             0.00097773,             0.00097773,             0.00097773
                     12,                 1.2866,                 1.5844,                  1.354,                 1.4329,                 1.9705,                  1.328,                 0.7392,                 0.5927,                0.67449,                0.42871,                 2.4373,                  1.012,                 153.47,                0.04854,                 77.673,                 2.8307,                 1.8193,                 2.6947,                 2.9223,                  2.512,                 2.4805,             0.00097525,             0.00097525,             0.00097525
