                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2597,                 3.9567,                  1.243,                 1.2825,                 4.1814,                 1.1644,                0.00553,                0.58687,                0.13345,                0.09416,                 1.1885,                 3.7304,                 1.1128,                 1.1761,                  4.173,                 1.0496,                0.00329,                0.00329,                0.00329
                      2,                 1.4184,                 2.8121,                 1.3392,                 1.4093,                 3.1782,                 1.2235,                0.41803,                0.20994,                0.18262,                0.11099,                 1.5134,                 2.7567,                 1.4023,                 1.4698,                 3.5086,                 1.2663,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.5863,                 2.5641,                 1.4813,                 1.5925,                 3.1193,                 1.3309,                0.12848,                 0.0661,                0.01785,                0.00664,                 2.2779,                 15.346,                 2.4572,                 2.1176,                 10.413,                 2.1031,              0.0099173,              0.0099173,              0.0099173
                      4,                 1.6995,                 2.5744,                 1.5992,                  1.725,                 3.2438,                 1.4179,                0.15949,                0.13321,                0.04109,                  0.018,                 2.2547,                 8.5134,                 2.7096,                 2.0877,                 7.3206,                  2.051,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6554,                 2.4397,                 1.5644,                 1.6961,                 3.1128,                 1.3953,                0.18011,                0.15682,                0.05704,                0.02735,                 1.8848,                 4.0522,                 1.9147,                 1.8396,                 4.5915,                 1.6646,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.5945,                 2.3279,                 1.5273,                 1.6659,                 2.9587,                 1.3815,                0.13985,                0.18916,                0.09415,                0.04296,                 1.8519,                 3.0918,                 1.7387,                 1.8048,                 4.1904,                 1.5526,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.5526,                 2.2338,                 1.5029,                 1.6306,                 2.8267,                 1.3638,                0.27028,                0.21462,                0.15901,                0.08004,                 1.6652,                 2.7466,                 1.6112,                 1.7217,                 3.4431,                 1.4936,               0.009901,               0.009901,               0.009901
                      8,                 1.5373,                 2.1742,                 1.4769,                 1.6361,                 2.7325,                 1.3578,                0.26958,                0.21147,                 0.1568,                 0.0824,                 1.6718,                 2.6165,                 1.5586,                 1.6989,                 3.1615,                 1.4332,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.5015,                 2.0999,                 1.4572,                 1.6166,                  2.631,                 1.3548,                 0.2995,                0.22865,                0.19196,                0.10354,                  1.666,                 2.3047,                   1.58,                 1.6921,                 2.8657,                 1.4443,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.4737,                   2.06,                 1.4406,                 1.5965,                 2.5529,                 1.3436,                0.32538,                0.29839,                0.24281,                0.13218,                 1.5847,                 2.1626,                 1.5171,                 1.6251,                 2.6204,                 1.3922,              0.0098416,              0.0098416,              0.0098416
