                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.35,                 3.8492,                 1.3137,                 1.3382,                 4.0865,                 1.2136,                0.57401,                0.13617,                0.12119,                0.07543,                 1.3701,                 2.7332,                  1.271,                 1.2974,                 3.5056,                 1.1546,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.5671,                 3.1033,                  1.458,                 1.5205,                 3.4756,                 1.2997,                 0.2491,                0.23245,                0.12769,                0.07147,                  1.594,                 2.8209,                 1.4569,                 1.5183,                 4.0106,                 1.2973,              0.0066508,              0.0066508,              0.0066508
                      3,                 1.7143,                 2.9726,                 1.5917,                 1.6654,                 3.5249,                 1.3955,                0.25434,                0.16735,                0.09734,                0.04764,                 1.8164,                 2.9691,                 1.7087,                 1.7441,                 3.7545,                 1.4597,              0.0099578,              0.0099578,              0.0099578
                      4,                 1.7858,                 2.9026,                 1.6676,                  1.765,                 3.5619,                 1.4549,                0.18817,                0.17953,                0.09322,                0.04478,                 1.7947,                 3.0086,                 1.6533,                 1.7436,                 3.6877,                 1.4482,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.7214,                 2.7842,                 1.6222,                  1.756,                 3.4238,                 1.4411,                0.28765,                0.19772,                0.11168,                0.05565,                 1.7356,                 2.9748,                 1.6068,                 1.7096,                 3.5213,                 1.4338,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6711,                 2.6548,                 1.5837,                 1.7065,                 3.2475,                  1.424,                0.20623,                0.20732,                0.12454,                0.06626,                  1.647,                  2.537,                 1.5475,                 1.6256,                 3.1284,                 1.3845,              0.0099208,              0.0099208,              0.0099208
                      7,                  1.633,                 2.5914,                 1.5619,                 1.6898,                 3.1443,                 1.4104,                0.32596,                0.21436,                 0.1377,                 0.0731,                  1.624,                 2.5246,                 1.5319,                 1.6274,                  2.987,                 1.4034,               0.009901,               0.009901,               0.009901
                      8,                 1.5954,                 2.5034,                 1.5322,                 1.6477,                 3.0159,                 1.3937,                0.25682,                0.24274,                0.15639,                0.08496,                 1.5797,                 2.3486,                 1.5012,                 1.6005,                 2.8375,                 1.3577,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.565,                 2.4545,                 1.5201,                 1.6318,                 2.9471,                 1.3955,                0.32699,                 0.2595,                0.18232,                0.10058,                 1.5539,                 2.3948,                 1.4975,                  1.575,                 2.7837,                 1.3688,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.5399,                 2.4295,                 1.5035,                   1.62,                 2.8875,                 1.3921,                0.26978,                0.28434,                0.19239,                0.10563,                  1.535,                 2.2904,                 1.4556,                 1.5926,                 2.6912,                 1.3598,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.5374,                 2.3711,                 1.4953,                 1.6283,                 2.8192,                 1.3879,                0.30706,                0.27948,                0.20148,                0.11422,                 1.5403,                 2.2066,                 1.4839,                 1.5724,                 2.5421,                 1.3837,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.5106,                 2.3114,                 1.4826,                 1.5982,                 2.7529,                 1.3834,                0.27569,                0.29418,                0.20334,                0.11424,                 1.4922,                 2.1827,                 1.4592,                 1.5352,                 2.5624,                 1.3619,               0.009802,               0.009802,               0.009802
