                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1868,                  2.353,                 2.4162,                 2.5185,                 3.0535,                 2.4054,                0.78354,                0.66178,                0.74582,                0.54959,                 10.018,                0.17362,                0.40109,                0.00194,                  1.369,                 1.0077,                0.82102,                 1.0868,                 1.1706,                 1.0449,                 1.1054,             0.00033307,             0.00033307,             0.00033307
                      2,                 2.1724,                 2.3234,                 2.4177,                 2.4905,                 3.0109,                 2.4043,                0.80514,                0.67055,                0.76453,                0.56476,                 10.056,                 0.1739,                0.40103,                0.00194,                 1.3522,                0.99797,                 0.7962,                 1.0784,                   1.16,                 1.0069,                 1.0957,             0.00066475,             0.00066475,             0.00066475
                      3,                 2.1798,                 2.3295,                   2.41,                 2.5016,                 2.9961,                 2.3959,                0.80949,                 0.6697,                0.76544,                0.56487,                 10.082,                0.17418,                  0.401,                0.00194,                 1.3481,                0.99613,                0.78853,                 1.0764,                  1.154,                 1.0029,                 1.0922,             0.00099479,             0.00099479,             0.00099479
                      4,                 2.1725,                 2.3341,                 2.4077,                 2.5057,                 3.0205,                 2.3995,                0.80759,                0.66823,                0.76539,                0.56285,                 10.111,                0.17435,                0.40104,                0.00194,                 1.3477,                0.99352,                0.78728,                 1.0756,                 1.1526,                 1.0054,                 1.0937,             0.00099258,             0.00099258,             0.00099258
                      5,                 2.1746,                 2.3263,                 2.3984,                 2.5105,                 3.0152,                  2.385,                0.80615,                0.67381,                0.76692,                0.56392,                  10.14,                0.17449,                0.40104,                0.00194,                 1.3474,                0.99495,                 0.7868,                 1.0746,                 1.1532,                 1.0058,                 1.0905,             0.00099258,             0.00099258,             0.00099258
                      6,                 2.1802,                 2.3056,                 2.3994,                 2.5129,                 2.9857,                 2.3898,                0.80932,                 0.6769,                0.76922,                0.56762,                 10.162,                0.17463,                0.40107,                0.00193,                 1.3414,                0.98983,                0.78502,                 1.0702,                  1.147,                0.99321,                 1.0844,              0.0009901,              0.0009901,              0.0009901
                      7,                 2.1749,                 2.3191,                 2.4015,                 2.4949,                 3.0034,                 2.3881,                0.81013,                0.67782,                0.77423,                0.57237,                 10.195,                0.17484,                0.40104,                0.00193,                 1.3395,                0.98676,                0.78091,                 1.0686,                 1.1424,                 0.9956,                 1.0834,             0.00098763,             0.00098763,             0.00098763
                      8,                 2.1745,                 2.2978,                 2.3991,                  2.509,                 3.0009,                 2.3868,                0.81672,                0.67947,                0.76968,                0.57161,                  10.22,                0.17499,                0.40103,                0.00193,                 1.3395,                0.98502,                0.78379,                 1.0675,                 1.1389,                 1.0019,                 1.0793,             0.00098515,             0.00098515,             0.00098515
                      9,                 2.1749,                  2.302,                 2.3977,                 2.4897,                 2.9813,                 2.3856,                0.81419,                 0.6814,                0.77576,                0.57684,                 10.238,                0.17515,                0.40104,                0.00193,                 1.3329,                 0.9813,                0.77236,                 1.0659,                 1.1356,                0.98185,                 1.0816,             0.00098268,             0.00098268,             0.00098268
                     10,                 2.1677,                 2.3156,                 2.3998,                 2.4938,                 2.9853,                 2.3934,                0.82398,                0.67614,                0.77476,                0.57371,                 10.282,                0.17533,                0.40105,                0.00193,                  1.333,                0.97796,                  0.773,                 1.0643,                 1.1395,                0.97834,                 1.0852,              0.0009802,              0.0009802,              0.0009802
                     11,                 2.1544,                 2.2915,                 2.3836,                 2.4947,                 2.9763,                 2.3767,                0.82412,                0.67118,                0.77547,                0.57242,                 10.318,                0.17553,                0.40109,                0.00193,                 1.3367,                0.98283,                0.77933,                 1.0653,                  1.137,                0.99574,                 1.0819,             0.00097773,             0.00097773,             0.00097773
                     12,                 2.1561,                 2.2938,                 2.3779,                 2.4898,                 2.9638,                 2.3669,                0.83043,                0.66619,                0.77377,                0.57317,                  10.34,                 0.1757,                0.40114,                0.00193,                 1.3361,                0.98267,                0.77918,                 1.0627,                 1.1393,                0.99414,                 1.0794,             0.00097525,             0.00097525,             0.00097525
                     13,                 2.1807,                 2.2984,                 2.3867,                 2.5191,                   2.99,                  2.379,                0.84464,                0.67181,                0.78256,                0.57995,                 10.361,                 0.1759,                0.40116,                0.00192,                 1.3345,                 0.9836,                 0.7738,                 1.0628,                 1.1385,                0.99148,                 1.0765,             0.00097278,             0.00097278,             0.00097278
                     14,                 2.1449,                 2.2804,                 2.3735,                 2.4764,                  2.977,                 2.3673,                0.81547,                0.69131,                0.78336,                0.57822,                 10.388,                0.17606,                0.40118,                0.00192,                 1.3322,                  0.981,                0.76923,                  1.061,                  1.136,                0.98594,                 1.0765,              0.0009703,              0.0009703,              0.0009703
                     15,                 2.1261,                 2.2388,                 2.3756,                 2.4505,                 2.8995,                 2.3657,                0.81345,                0.68969,                0.78614,                0.58254,                 10.421,                0.17621,                0.40119,                0.00192,                 1.3247,                0.97428,                0.76387,                 1.0569,                 1.1295,                0.97074,                 1.0704,             0.00096783,             0.00096783,             0.00096783
                     16,                 2.1456,                 2.2519,                 2.3786,                 2.4822,                 2.9265,                 2.3678,                0.79222,                0.68577,                 0.7744,                0.57545,                 10.457,                0.17634,                0.40121,                0.00192,                 1.3359,                0.98121,                0.77908,                 1.0651,                 1.1358,                0.99401,                 1.0791,             0.00096535,             0.00096535,             0.00096535
                     17,                 2.1569,                  2.281,                 2.3813,                 2.4941,                 2.9528,                 2.3728,                0.81897,                0.68992,                0.78574,                 0.5838,                 10.498,                0.17651,                 0.4012,                0.00192,                 1.3272,                0.97772,                0.76499,                 1.0596,                 1.1299,                0.97439,                 1.0754,             0.00096288,             0.00096288,             0.00096288
                     18,                 2.1367,                 2.2519,                 2.3709,                  2.466,                  2.926,                 2.3659,                0.80798,                0.70387,                0.78804,                0.58698,                 10.525,                 0.1767,                0.40121,                0.00192,                 1.3214,                0.97065,                 0.7568,                 1.0562,                 1.1289,                0.96113,                 1.0746,              0.0009604,              0.0009604,              0.0009604
                     19,                 2.1622,                 2.2787,                 2.3835,                 2.4925,                  2.963,                 2.3702,                0.80744,                 0.6934,                0.78664,                0.58738,                 10.552,                0.17684,                0.40122,                0.00192,                 1.3224,                0.97268,                0.76005,                 1.0561,                 1.1233,                0.96968,                 1.0716,             0.00095793,             0.00095793,             0.00095793
                     20,                 2.1314,                 2.2508,                 2.3703,                 2.4694,                 2.9227,                  2.367,                0.82152,                 0.6903,                 0.7895,                0.58748,                 10.582,                0.17701,                0.40125,                0.00192,                  1.322,                0.97074,                0.75905,                 1.0539,                 1.1218,                0.97097,                 1.0731,             0.00095545,             0.00095545,             0.00095545
                     21,                 2.1571,                 2.2639,                 2.3777,                 2.4925,                 2.9427,                 2.3676,                0.81869,                0.70235,                0.79286,                0.58879,                 10.613,                0.17717,                0.40129,                0.00191,                 1.3165,                0.96339,                0.75556,                 1.0541,                 1.1202,                0.95173,                 1.0722,             0.00095298,             0.00095298,             0.00095298
                     22,                 2.1431,                 2.2357,                 2.3685,                 2.4839,                 2.8953,                 2.3605,                0.80676,                0.70042,                0.78841,                0.58617,                 10.643,                0.17735,                0.40134,                0.00191,                 1.3193,                0.96715,                0.75769,                 1.0523,                 1.1268,                 0.9617,                 1.0689,              0.0009505,              0.0009505,              0.0009505
                     23,                 2.1525,                 2.2315,                 2.3724,                 2.5015,                 2.9107,                 2.3668,                0.82346,                0.69397,                0.78753,                0.58531,                 10.677,                0.17754,                0.40138,                0.00191,                 1.3205,                0.96778,                0.75697,                 1.0522,                 1.1271,                0.96724,                 1.0703,             0.00094803,             0.00094803,             0.00094803
                     24,                 2.1391,                 2.2277,                 2.3742,                 2.4726,                 2.8879,                 2.3653,                0.81719,                0.69368,                0.78732,                0.58411,                 10.715,                 0.1777,                0.40142,                0.00191,                  1.317,                  0.965,                0.75329,                 1.0508,                 1.1232,                0.96027,                 1.0681,             0.00094555,             0.00094555,             0.00094555
                     25,                 2.1353,                 2.2456,                 2.3629,                 2.4807,                 2.9093,                 2.3558,                0.81702,                 0.7084,                0.79464,                 0.5911,                 10.747,                0.17789,                0.40144,                0.00191,                 1.3142,                0.96381,                0.74629,                 1.0526,                 1.1225,                0.94776,                 1.0703,             0.00094308,             0.00094308,             0.00094308
                     26,                 2.1329,                 2.2527,                 2.3704,                 2.4636,                 2.9202,                 2.3635,                0.83663,                0.69226,                0.79021,                0.58553,                 10.784,                0.17806,                 0.4015,                0.00191,                 1.3163,                 0.9656,                0.75197,                 1.0543,                 1.1244,                0.94994,                 1.0709,              0.0009406,              0.0009406,              0.0009406
