                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5995,                 2.5507,                 1.5962,                 1.5528,                 2.9416,                 1.4323,                0.88476,                0.86096,                  0.995,                0.76431,                 1.4926,                0.56144,                 23.847,                0.05345,                 27.606,                 2.6869,                 1.3427,                  3.212,                 2.6443,                 1.8361,                 2.8181,               8.34e-06,               8.34e-06,               8.34e-06
                      2,                 1.0122,                 1.3711,                   1.14,                 1.2162,                 1.7207,                 1.1337,                0.67965,                      1,                  0.995,                 0.7617,                 1.4926,                0.56144,                 23.848,                0.05345,                 27.606,                 2.6948,                 1.3253,                 3.2144,                 2.7222,                 1.7074,                 2.8758,             2.0798e-05,             2.0798e-05,             2.0798e-05
                      3,                 1.0405,                 1.5023,                 1.1902,                 1.0577,                 1.8585,                 1.1549,                0.69398,                0.99988,                0.98435,                0.75981,                 1.4926,                0.56144,                 23.849,                0.05345,                 27.605,                 2.6892,                 1.3116,                 3.2155,                 2.7212,                 1.7299,                 2.8603,             3.3195e-05,             3.3195e-05,             3.3195e-05
                      4,                 1.1702,                 1.7154,                 1.1833,                  1.413,                  2.358,                 1.1781,                0.69119,                      1,                  0.995,                0.75722,                 1.4926,                0.56143,                 23.849,                0.05345,                 27.602,                 2.6867,                  1.334,                 3.1808,                 2.6949,                 1.8017,                 2.7962,             4.5529e-05,             4.5529e-05,             4.5529e-05
                      5,                 1.0932,                 1.2062,                 1.2489,                 1.3254,                 1.7102,                 1.3005,                0.69066,                      1,                0.99352,                0.76486,                 1.4926,                0.56144,                 23.849,                0.05345,                   27.6,                 2.6976,                 1.3207,                 3.1721,                 2.6798,                 1.8051,                 2.8035,             5.7802e-05,             5.7802e-05,             5.7802e-05
                      6,                 1.2463,                 1.3228,                 1.3006,                 1.4797,                 1.7977,                 1.2713,                0.69416,                      1,                  0.995,                0.77152,                 1.4926,                 0.5614,                 23.845,                0.05344,                  27.59,                 2.7062,                   1.32,                 3.1621,                 2.6678,                  1.835,                 2.7997,             7.0013e-05,             7.0013e-05,             7.0013e-05
                      7,                0.95215,                 1.2195,                 1.0929,                 1.1366,                 1.5353,                  1.098,                0.71067,                      1,                  0.995,                0.78153,                 1.4926,                0.56143,                 23.847,                0.05345,                 27.604,                 2.7209,                 1.3134,                 3.1829,                 2.6706,                 1.8301,                 2.8061,             8.2162e-05,             8.2162e-05,             8.2162e-05
                      8,                0.78768,                0.98006,                 1.0598,                0.98911,                 1.3179,                 1.1329,                0.73371,                      1,                  0.995,                0.77029,                 1.4926,                0.56142,                 23.844,                0.05344,                 27.618,                 2.7251,                 1.3297,                 3.1751,                 2.6819,                 1.8074,                 2.9355,             9.4248e-05,             9.4248e-05,             9.4248e-05
                      9,                  0.984,                 1.1667,                 1.1459,                 1.1791,                 1.5719,                 1.1207,                0.72797,                      1,                  0.995,                0.77613,                 1.4926,                0.56144,                 23.848,                0.05345,                 27.635,                 2.7288,                 1.3468,                 3.1935,                 2.6899,                 1.7984,                 2.9524,             0.00010627,             0.00010627,             0.00010627
                     10,                 1.2808,                 1.9168,                 1.5777,                  1.377,                 2.3859,                 1.4678,                0.71897,                      1,                  0.995,                 0.7708,                 1.4926,                0.56144,                 23.847,                0.05345,                 27.637,                 2.7308,                 1.3406,                 3.1884,                 2.6964,                 1.8088,                 2.9579,             0.00011824,             0.00011824,             0.00011824
                     11,                 1.1702,                 1.3753,                 1.3056,                 1.2284,                 1.9538,                 1.2307,                0.71101,                      1,                  0.995,                 0.7784,                 1.4926,                0.56144,                 23.849,                0.05345,                 27.642,                 2.7344,                 1.3368,                 3.1943,                 2.7482,                 1.7267,                 3.0109,             0.00013014,             0.00013014,             0.00013014
                     12,                0.91821,                  1.161,                  1.116,                 1.0937,                 1.4797,                 1.1724,                0.90579,                0.83248,                  0.995,                0.77125,                 1.4968,                0.56163,                 23.834,                0.05342,                 27.592,                 2.7242,                 1.3056,                 3.1815,                 2.6913,                 1.7141,                  2.976,             0.00014198,             0.00014198,             0.00014198
                     13,                0.87146,                0.98062,                 1.0703,                 1.1135,                 1.7498,                 1.0982,                 0.8134,                0.86226,                0.97667,                0.76093,                 1.4968,                0.56162,                 23.836,                0.05342,                 27.564,                 2.7108,                 1.2817,                 3.1651,                 2.5834,                 1.7935,                 2.8691,             0.00015375,             0.00015375,             0.00015375
                     14,                 1.0564,                  1.259,                 1.2368,                 1.0865,                 1.7025,                 1.2018,                0.91152,                0.80924,                  0.995,                 0.7839,                 1.5001,                0.56147,                  23.84,                0.05343,                 27.621,                 2.7544,                 1.3413,                 3.1871,                 2.6754,                 1.8269,                 2.9423,             0.00016547,             0.00016547,             0.00016547
                     15,                 0.9698,                 0.9889,                 1.1061,                 1.1368,                   1.33,                 1.1207,                0.89692,                0.82422,                  0.995,                0.77883,                 1.5001,                0.56148,                  23.84,                0.05343,                   27.6,                 2.7483,                 1.3497,                 3.1711,                 2.5642,                 1.9358,                   2.83,             0.00017712,             0.00017712,             0.00017712
                     16,                 1.1583,                 1.3482,                 1.2441,                 1.3703,                 1.8806,                 1.3062,                0.88019,                0.83193,                0.98583,                0.78353,                 1.5001,                 0.5615,                  23.84,                0.05343,                 27.618,                 2.7598,                 1.3448,                 3.1822,                 2.6751,                 1.8092,                 2.9402,             0.00018871,             0.00018871,             0.00018871
                     17,                 1.0277,                  1.049,                 1.1427,                  1.269,                  1.357,                  1.182,                0.71468,                0.91129,                0.93972,                0.75058,                 1.5025,                0.56149,                 23.841,                0.05343,                 27.631,                  2.782,                  1.302,                  3.214,                 2.6585,                 1.8417,                 2.9257,             0.00020024,             0.00020024,             0.00020024
                     18,                0.81193,                 1.0039,                 1.0245,                 1.0016,                 1.2621,                  1.053,                0.71472,                0.91146,                0.93972,                0.75041,                 1.5025,                0.56154,                 23.843,                0.05344,                 27.636,                 2.7851,                 1.2977,                 3.2171,                 2.6588,                 1.8414,                 2.9274,             0.00021171,             0.00021171,             0.00021171
                     19,                0.85389,                0.94827,                 1.1175,                0.94821,                 1.2489,                 1.1284,                0.71722,                0.91058,                0.93972,                0.75069,                 1.5025,                0.56151,                 23.841,                0.05343,                 27.631,                 2.7824,                 1.3014,                 3.2136,                 2.6593,                 1.8398,                 2.9262,             0.00022312,             0.00022312,             0.00022312
                     20,                 0.9239,                 1.0882,                 1.0719,                 1.0298,                 1.3664,                 1.0679,                 0.7553,                0.86641,                0.92506,                0.75452,                 1.5053,                0.56147,                 23.849,                0.05345,                  27.64,                 2.7935,                 1.3428,                  3.142,                 2.6797,                 1.8644,                 2.9195,             0.00023446,             0.00023446,             0.00023446
                     21,                  1.073,                0.92453,                 1.1917,                 1.2531,                 1.2235,                  1.196,                0.75823,                 0.8664,                0.93056,                0.75406,                 1.5053,                0.56141,                 23.848,                0.05345,                 27.639,                 2.7797,                 1.3528,                 3.1356,                 2.6498,                 1.9226,                 2.9002,             0.00024574,             0.00024574,             0.00024574
                     22,                0.79759,                0.86012,                 1.0801,                0.93914,                 1.1731,                 1.1143,                 0.9019,                0.80392,                0.91213,                0.73557,                 1.5053,                0.56143,                 23.843,                0.05344,                 27.629,                 2.7747,                 1.3502,                 3.1314,                 2.6505,                 1.9192,                  2.897,             0.00025696,             0.00025696,             0.00025696
                     23,                0.94048,                0.99905,                 1.1511,                 1.0748,                 1.2991,                 1.1515,                0.89876,                0.80948,                0.91213,                0.74316,                 1.5053,                0.56141,                 23.851,                0.05346,                 27.644,                 2.7786,                 1.3611,                  3.128,                 2.6507,                 1.9279,                 2.8964,             0.00026812,             0.00026812,             0.00026812
                     24,                0.80653,                0.91312,                 1.0524,                0.99521,                 1.4497,                 1.0467,                 0.8937,                0.80758,                0.91208,                0.72235,                 1.5091,                0.56174,                 23.863,                0.05348,                 27.681,                 2.7595,                 1.3405,                  3.118,                 2.7915,                   1.76,                 3.0068,             0.00027922,             0.00027922,             0.00027922
                     25,                0.93206,                0.94221,                 1.1975,                 1.0176,                 1.1905,                 1.2007,                0.89242,                0.80739,                0.91208,                0.72895,                 1.5091,                0.56171,                  23.86,                0.05348,                 27.679,                 2.7713,                 1.3391,                 3.1481,                 2.7964,                 1.7631,                 3.0031,             0.00029025,             0.00029025,             0.00029025
                     26,                0.79327,                0.81745,                 1.0342,                 1.0859,                 1.2626,                 1.0552,                0.88942,                0.81545,                0.91208,                0.72137,                 1.5091,                0.56177,                 23.864,                0.05349,                 27.686,                 2.7523,                 1.3547,                 3.1012,                 2.7939,                 1.7695,                 3.0031,             0.00030122,             0.00030122,             0.00030122
                     27,                 1.0859,                 1.0847,                 1.0907,                 1.3021,                 1.6168,                 1.1306,                0.92117,                0.75432,                0.88153,                0.70066,                 1.5091,                 0.5617,                 23.859,                0.05347,                 27.682,                 2.7713,                 1.3239,                 3.1595,                 2.8044,                 1.7627,                 3.0071,             0.00031213,             0.00031213,             0.00031213
                     28,                0.95099,                0.95315,                 1.0793,                 1.2821,                 1.7505,                 1.1303,                 0.9229,                0.75431,                0.88153,                0.70064,                 1.5091,                0.56172,                 23.862,                0.05348,                 27.682,                 2.7548,                 1.3458,                  3.111,                  2.806,                 1.7594,                 3.0137,             0.00032298,             0.00032298,             0.00032298
                     29,                0.89875,                 1.1898,                 1.1142,                 1.0483,                 1.5283,                 1.1037,                0.75048,                0.90727,                0.92139,                0.72443,                 1.5134,                0.56167,                 23.845,                0.05344,                 27.627,                 2.7371,                 1.3338,                 3.1622,                 2.6999,                 1.7768,                 2.9259,             0.00033377,             0.00033377,             0.00033377
                     30,                0.96126,                 1.2517,                 1.1562,                 1.0861,                 1.5503,                 1.1332,                0.75105,                0.90878,                0.92139,                0.71339,                 1.5134,                 0.5617,                 23.852,                0.05346,                 27.635,                 2.7288,                 1.3342,                 3.1558,                 2.6958,                 1.7732,                 2.9239,             0.00034449,             0.00034449,             0.00034449
                     31,                0.95173,                0.88447,                 1.1498,                 1.0205,                 1.0544,                 1.1577,                0.75107,                0.90879,                0.92139,                0.71352,                 1.5134,                0.56169,                 23.855,                0.05347,                 27.639,                 2.7268,                 1.3438,                 3.1464,                 2.6886,                  1.774,                  2.912,             0.00035515,             0.00035515,             0.00035515
                     32,                  0.628,                  0.813,                 1.0272,                0.93585,                 1.3501,                 1.0847,                0.75017,                0.90915,                0.92139,                 0.7134,                 1.5134,                0.56171,                 23.858,                0.05347,                 27.634,                 2.7153,                 1.3512,                 3.1053,                 2.6944,                 1.7699,                 2.9241,             0.00036576,             0.00036576,             0.00036576
                     33,                0.91371,                0.90223,                 1.0577,                 1.0633,                 1.0944,                 1.0616,                0.75038,                0.90935,                0.92139,                0.71287,                 1.5134,                0.56172,                 23.857,                0.05347,                 27.643,                 2.7317,                 1.3365,                 3.1525,                 2.6936,                 1.7745,                 2.9183,             0.00037629,             0.00037629,             0.00037629
