                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94847,                0.93677,                 1.1247,                 1.1265,                 1.2311,                 1.1312,                0.66297,                0.55672,                0.59874,                0.39281,                 1.1987,                 1.1425,                 1.2444,                 1.3207,                 1.4311,                 1.2334,              0.0033306,              0.0033306,              0.0033306
                      2,                 1.0364,                 1.0598,                 1.1669,                 1.2103,                 1.3684,                 1.1661,                0.67408,                0.54105,                0.58978,                0.38583,                 1.2027,                 1.1639,                 1.2334,                 1.3244,                 1.4422,                 1.2268,              0.0066508,              0.0066508,              0.0066508
                      3,                 1.0903,                 1.1483,                 1.1948,                 1.2623,                 1.4555,                 1.1899,                0.65527,                 0.5048,                0.55626,                0.35535,                 1.2441,                 1.2453,                 1.2562,                 1.3794,                 1.5468,                  1.242,              0.0099577,              0.0099577,              0.0099577
