                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   compression_aux_loss,   compression_bpp_loss,       compression_loss,   compression_mse_loss,         val_total_loss,             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0595,                 2.1153,                 2.3359,                 2.4002,                 2.7453,                 2.3356,                0.83588,                 0.7129,                0.81215,                0.62093,                 1.6281,                0.42935,                0.79714,                0.00084,                 1.5903,                0.89832,                0.69166,                 1.0205,                  1.045,                0.86356,                 1.0367,             0.00033307,             0.00033307,             0.00033307
                      2,                 2.0577,                 2.1117,                 2.3476,                 2.3854,                 2.7392,                 2.3437,                0.83575,                0.73369,                0.82268,                 0.6285,                 1.7018,                0.42984,                0.79714,                0.00084,                 1.5846,                0.89673,                0.68458,                 1.0177,                  1.041,                0.85279,                 1.0303,             0.00066475,             0.00066475,             0.00066475
                      3,                 2.0658,                 2.1141,                 2.3411,                  2.391,                 2.7257,                 2.3345,                0.82758,                0.73391,                0.82166,                0.62381,                 1.7464,                 0.4301,                0.79716,                0.00084,                 1.5829,                0.89515,                0.67906,                 1.0158,                  1.042,                  0.849,                 1.0314,             0.00099479,             0.00099479,             0.00099479
                      4,                 2.0618,                 2.1235,                 2.3368,                  2.397,                 2.7575,                 2.3366,                  0.825,                0.73711,                0.81845,                0.62039,                 1.7876,                0.43033,                0.79717,                0.00084,                 1.5844,                0.89469,                 0.6837,                 1.0153,                 1.0434,                0.85483,                 1.0303,             0.00099258,             0.00099258,             0.00099258
                      5,                 2.0701,                 2.1172,                 2.3338,                 2.4108,                 2.7627,                 2.3295,                0.82673,                0.73724,                 0.8228,                0.62435,                 1.8225,                0.43057,                0.79721,                0.00084,                 1.5853,                0.89759,                0.68311,                 1.0166,                 1.0447,                0.85454,                 1.0312,             0.00099258,             0.00099258,             0.00099258
                      6,                 2.0828,                 2.1086,                 2.3376,                 2.4107,                  2.743,                 2.3335,                0.82986,                0.73248,                0.82439,                0.62866,                  1.852,                0.43078,                0.79725,                0.00084,                 1.5796,                 0.8928,                 0.6779,                 1.0136,                 1.0442,                0.83751,                  1.029,              0.0009901,              0.0009901,              0.0009901
                      7,                 2.0708,                 2.1213,                 2.3382,                 2.3935,                 2.7549,                 2.3324,                0.83339,                 0.7385,                0.82612,                0.62995,                 1.8963,                0.43104,                0.79731,                0.00084,                 1.5784,                 0.8908,                 0.6745,                 1.0132,                 1.0407,                0.83584,                 1.0297,             0.00098763,             0.00098763,             0.00098763
                      8,                 2.0729,                 2.1097,                 2.3342,                 2.4141,                  2.755,                 2.3338,                0.82851,                0.73397,                0.82256,                0.62811,                 1.9382,                0.43127,                0.79729,                0.00084,                  1.579,                0.89129,                0.67951,                 1.0115,                 1.0366,                0.84779,                 1.0228,             0.00098515,             0.00098515,             0.00098515
                      9,                 2.0648,                 2.1154,                  2.331,                 2.3927,                 2.7489,                 2.3285,                0.83266,                0.74303,                0.82887,                0.63395,                 1.9758,                0.43153,                0.79732,                0.00084,                 1.5762,                0.88721,                0.67296,                 1.0118,                 1.0401,                0.83193,                 1.0283,             0.00098268,             0.00098268,             0.00098268
                     10,                 2.0688,                 2.1229,                 2.3403,                  2.392,                 2.7474,                 2.3375,                 0.8538,                0.72799,                0.82993,                 0.6346,                 2.0161,                0.43168,                0.79736,                0.00084,                 1.5724,                0.88304,                0.66684,                 1.0087,                 1.0344,                0.83298,                 1.0258,              0.0009802,              0.0009802,              0.0009802
                     11,                 2.0548,                  2.101,                 2.3245,                  2.402,                 2.7308,                 2.3255,                0.84156,                0.73683,                0.82946,                0.63283,                 2.0618,                0.43193,                0.79744,                0.00084,                 1.5723,                0.88421,                0.66707,                 1.0081,                 1.0362,                0.83443,                  1.024,             0.00097773,             0.00097773,             0.00097773
                     12,                 2.0564,                 2.0937,                 2.3176,                 2.3899,                 2.7144,                 2.3147,                0.84692,                 0.7347,                0.82793,                0.63197,                 2.1039,                0.43219,                 0.7975,                0.00084,                 1.5747,                0.88362,                0.67006,                 1.0061,                 1.0406,                0.84095,                 1.0249,             0.00097525,             0.00097525,             0.00097525
                     13,                 2.0799,                 2.1026,                 2.3284,                 2.4214,                 2.7447,                 2.3285,                0.83752,                0.74729,                0.83272,                0.63726,                 2.1438,                0.43241,                0.79751,                0.00084,                 1.5715,                 0.8849,                0.66616,                  1.007,                 1.0359,                0.82993,                  1.025,             0.00097278,             0.00097278,             0.00097278
                     14,                 2.0482,                 2.0919,                  2.316,                 2.3868,                 2.7321,                 2.3164,                0.82555,                0.75148,                0.83032,                0.63433,                  2.186,                0.43266,                0.79757,                0.00084,                 1.5728,                0.88537,                0.66576,                 1.0073,                 1.0391,                 0.8364,                 1.0229,              0.0009703,              0.0009703,              0.0009703
                     15,                 2.0233,                 2.0597,                 2.3129,                 2.3447,                 2.6703,                 2.3116,                0.83346,                0.75319,                0.83373,                0.63738,                 2.2342,                0.43287,                0.79762,                0.00084,                 1.5653,                0.87919,                0.65854,                 1.0032,                 1.0332,                0.81413,                 1.0222,             0.00096783,             0.00096783,             0.00096783
